peptide_id;protein_id
agilent_101753;agilent_26651
agilent_101754;agilent_27754
agilent_101757;agilent_20679
agilent_101759;agilent_28795
agilent_10176;agilent_919
agilent_101761;agilent_27546
agilent_101763;agilent_29633
agilent_101767;agilent_21612
agilent_101769;agilent_17513
agilent_101771;agilent_87831
agilent_101778;agilent_18887
agilent_101780;agilent_18672
agilent_101786;agilent_101786
agilent_101787;agilent_14609
agilent_10179;agilent_1173
agilent_101792;agilent_22419
agilent_101799;agilent_47336
agilent_101803;agilent_18153
agilent_101804;agilent_43616
agilent_101809;agilent_34864
agilent_101816;agilent_21750
agilent_10183;agilent_349
agilent_10184;agilent_207
agilent_101842;agilent_37850
agilent_101843;agilent_70041
agilent_101848;agilent_37937
agilent_10185;agilent_664
agilent_101851;agilent_44891
agilent_101853;agilent_50534
agilent_101854;agilent_52456
agilent_10186;agilent_664
agilent_10187;agilent_664
agilent_101873;agilent_21208
agilent_101875;agilent_31239
agilent_101881;agilent_101881
agilent_101883;agilent_36047
agilent_101887;agilent_31616
agilent_101890;agilent_39953
agilent_101894;agilent_59148
agilent_101897;agilent_22493
agilent_101901;agilent_40297
agilent_101902;agilent_17369
agilent_101905;agilent_14510
agilent_10191;agilent_2795
agilent_101910;agilent_28095
agilent_101913;agilent_14560
agilent_101914;agilent_81567
agilent_101923;agilent_31536
agilent_101924;agilent_101924
agilent_101930;agilent_101930
agilent_101934;agilent_31097
agilent_101938;agilent_101938
agilent_101943;agilent_18433
agilent_101945;agilent_18887
agilent_101950;agilent_18519
agilent_101952;agilent_24396
agilent_101960;agilent_15324
agilent_101963;agilent_45839
agilent_101964;agilent_47477
agilent_101965;agilent_19123
agilent_101969;agilent_25997
agilent_10198;agilent_558
agilent_101982;agilent_17082
agilent_101984;agilent_25871
agilent_101985;agilent_42417
agilent_101987;agilent_13887
agilent_101988;agilent_69960
agilent_101989;agilent_20538
agilent_101994;agilent_15443
agilent_101996;agilent_21571
agilent_102;agilent_102
agilent_102001;agilent_35118
agilent_102004;agilent_24054
agilent_102009;agilent_61864
agilent_102012;agilent_12339
agilent_102013;agilent_12453
agilent_102017;agilent_102017
agilent_10202;agilent_58
agilent_102020;agilent_50378
agilent_102022;agilent_19603
agilent_102031;agilent_59536
agilent_102033;agilent_19405
agilent_102036;agilent_29428
agilent_102041;agilent_17278
agilent_102044;agilent_72272
agilent_102046;agilent_102046
agilent_102053;agilent_47031
agilent_102058;agilent_37034
agilent_10206;agilent_159
agilent_102063;agilent_12957
agilent_102068;agilent_23378
agilent_102069;agilent_24713
agilent_102072;agilent_45774
agilent_102073;agilent_12416
agilent_102076;agilent_16765
agilent_102078;agilent_45739
agilent_102079;agilent_45078
agilent_102081;agilent_34518
agilent_102083;agilent_37540
agilent_102087;agilent_40749
agilent_102093;agilent_68025
agilent_102110;agilent_15510
agilent_102115;agilent_102115
agilent_102124;agilent_75033
agilent_102125;agilent_65226
agilent_102126;agilent_34380
agilent_102129;agilent_31853
agilent_102144;agilent_45258
agilent_102150;agilent_12069
agilent_102152;agilent_33394
agilent_102153;agilent_32806
agilent_102159;agilent_13921
agilent_102162;agilent_13263
agilent_102163;agilent_14129
agilent_102164;agilent_19083
agilent_102179;agilent_29257
agilent_102181;agilent_15509
agilent_102188;agilent_15722
agilent_10219;agilent_453
agilent_102194;agilent_31586
agilent_102198;agilent_19094
agilent_1022;agilent_211
agilent_102206;agilent_74834
agilent_102209;agilent_18095
agilent_102211;agilent_56285
agilent_102213;agilent_60965
agilent_102214;agilent_36085
agilent_102216;agilent_77938
agilent_102218;agilent_15588
agilent_102223;agilent_25530
agilent_102227;agilent_40021
agilent_102229;agilent_13710
agilent_102235;agilent_16362
agilent_102236;agilent_16910
agilent_102239;agilent_20872
agilent_10224;agilent_350
agilent_102243;agilent_30293
agilent_102247;agilent_17118
agilent_102248;agilent_13725
agilent_10225;agilent_643
agilent_102258;agilent_23536
agilent_102262;agilent_16750
agilent_102263;agilent_14319
agilent_102264;agilent_23674
agilent_102265;agilent_44732
agilent_102280;agilent_33500
agilent_102285;agilent_29309
agilent_102286;agilent_12590
agilent_10229;agilent_3170
agilent_102291;agilent_31480
agilent_102296;agilent_56905
agilent_102299;agilent_16420
agilent_102300;agilent_16419
agilent_102302;agilent_102302
agilent_102311;agilent_26103
agilent_102317;agilent_24706
agilent_10232;agilent_149
agilent_102329;agilent_38149
agilent_10233;agilent_95
agilent_102330;agilent_29940
agilent_102333;agilent_32209
agilent_102337;agilent_26076
agilent_102341;agilent_19096
agilent_102344;agilent_13233
agilent_102345;agilent_21460
